Datetime,hour,energy_consumption,hour_mean,z_score,residual,anomaly_type,is_peak_hour,is_weekend,wastage_mw,cost_usd
2002-06-25 15:00:00,15,50311.0,34940.669692967975,2.2664225731047454,8226.74478126219,Demand Surge,0,0,15370.330307032025,1844439.636843843
2002-06-25 16:00:00,16,50967.0,35065.39220864972,2.2766540008018867,8540.12055337221,Demand Surge,0,0,15901.607791350281,1908192.9349620338
2002-06-25 17:00:00,17,51414.0,35596.05150214592,2.275950789528383,8617.185401371818,Demand Surge,1,0,15817.948497854079,1898153.8197424894
2002-06-25 18:00:00,18,51102.0,36421.93149554308,2.184137395586183,8668.527044117007,Demand Surge,1,0,14680.068504456918,1761608.2205348301
2002-06-25 19:00:00,19,50157.0,36426.62991086167,2.1968611756020477,8819.430240200032,Demand Surge,1,0,13730.370089138327,1647644.4106965992
2002-06-25 20:00:00,20,48449.0,36106.84021129085,2.1963717113819476,8331.572416884504,Demand Surge,1,0,12342.159788709148,1481059.174645098
2002-06-25 21:00:00,21,47260.0,35741.057279630244,2.2010720246234703,7758.522467810064,Demand Surge,1,0,11518.942720369756,1382273.1264443707
2002-06-25 22:00:00,22,46682.0,34453.149884450315,2.4074709771347833,7885.3870511359855,Demand Surge,0,0,12228.850115549685,1467462.0138659622
2002-06-25 23:00:00,23,43178.0,32047.501485638826,2.380602163069005,7556.878940086128,Demand Surge,0,0,11130.498514361174,1335659.8217233408
2002-06-26 00:00:00,0,39094.0,29523.61119366023,2.232453946707651,6921.379255777847,Pattern Outlier,0,0,9570.388806339772,1148446.6567607727
2002-06-26 01:00:00,1,35636.0,27535.589963684386,2.0314883334857083,6208.669242115877,Pattern Outlier,0,0,8100.410036315614,972049.2043578736
2002-06-26 09:00:00,9,42019.0,32628.888246946186,2.0560197560328803,6603.080289337166,Pattern Outlier,0,0,9390.111753053814,1126813.4103664577
2002-06-26 10:00:00,10,45090.0,33497.40343347639,2.5201538419772067,7903.339126867308,Demand Surge,0,0,11592.596566523607,1391111.587982833
2002-06-26 11:00:00,11,48034.0,34197.643116540115,2.7860813922100744,9225.76718987307,Demand Surge,0,0,13836.356883459885,1660362.826015186
